In,Out,After Text,Before Text,State
00:00:42:20,00:00:43:12,你好 陸堯,你好陸堯,True
00:01:01:13,00:01:02:15,就 超級冷啊,就超級冷啊,True
00:02:05:06,00:02:06:16,你要不要聽個電話 沒事的,你要不要聽個電話沒事的,True
00:02:21:18,00:02:24:08,星玥 你房東打電話說有急事找你,星玥你房東打電話說有急事找你,True
00:02:29:20,00:02:31:04,不好意思 我先出去接個電話,不好意思我先出去接個電話,True
00:03:13:00,00:03:14:19,謝謝你  不會,謝謝你不會,True
00:03:18:07,00:03:19:06,不用了 謝謝,不用了謝謝,True
00:04:00:20,00:04:01:11,來 毛巾,來毛巾,True
00:04:18:11,00:04:19:21,有了 關掉了 有嗎,有了關掉了有嗎,True
00:05:10:06,00:05:12:03,所以 你不用那麼難過,所以你不用那麼難過,True
00:05:51:11,00:05:53:08,你誰啊 幹嘛穿我的衣服,你誰啊幹嘛穿我的衣服,True
00:05:54:12,00:05:56:06,都已經分手了 你還回來幹嘛,都已經分手了你還回來幹嘛,True
00:06:09:18,00:06:11:09,你拿什麼東西 憑什麼拿東西,你拿什麼東西憑什麼拿東西,True
00:06:12:03,00:06:14:01,你送我的吉他 送給他了,你送我的吉他送給他了,True
00:06:14:01,00:06:15:07,送給他  對啊,送給他對啊,True
00:06:26:21,00:06:29:10,這麼厲害的吉他 你懂嗎,這麼厲害的吉他你懂嗎,True
00:06:41:08,00:06:43:15,好 我大方,好我大方,True
00:06:49:06,00:06:50:14,你幹嘛 你站住,你幹嘛你站住,True
00:07:35:05,00:07:36:12,你受傷了  我沒事...,你受傷了我沒事...,True
00:08:21:16,00:08:23:08,沒什麼事 冰敷一下,沒什麼事冰敷一下,True
00:08:39:20,00:08:42:13,你剛剛那一拳 我想打他很久了,你剛剛那一拳我想打他很久了,True
00:08:46:03,00:08:48:13,這樣男人 不值得你為他流淚,這樣男人不值得你為他流淚,True
00:09:26:09,00:09:28:07,你怎麼會知道  飽讀詩書,你怎麼會知道飽讀詩書,True
00:10:22:19,00:10:24:16,在我入行之前 其實我也,在我入行之前其實我也,True
00:10:34:00,00:10:34:21,他說 陸堯,他說陸堯,True
00:10:40:10,00:10:42:22,他這麼說也太過分  他還有說更過分的話,他這麼說也太過分他還有說更過分的話,True
00:10:45:07,00:10:49:04,那時候 在我心中就萌生了一句雞湯,那時候在我心中就萌生了一句雞湯,True
00:10:53:10,00:10:55:02,沒有這句話 就沒有今天的我,沒有這句話就沒有今天的我,True
00:11:00:18,00:11:02:03,真的... 我不是罵你的意思,真的... 我不是罵你的意思,True
00:11:14:02,00:11:15:21,我沒有堅持下來的話 你知道,我沒有堅持下來的話你知道,True
00:11:32:19,00:11:35:12,只要我們有話要說 一定會有聽眾,只要我們有話要說一定會有聽眾,True
00:11:36:15,00:11:38:10,來 現在我就是你的聽眾,來現在我就是你的聽眾,True
00:11:42:15,00:11:44:15,即興  可以的相信自己,即興可以的相信自己,True
00:11:58:13,00:11:59:21,你給我點時間  好,你給我點時間好,True
00:14:20:12,00:14:22:07,我喝醉了 只是亂來,我喝醉了只是亂來,True
00:14:33:00,00:14:35:04,你來當我的作詞人 怎麼樣,你來當我的作詞人怎麼樣,True
00:14:35:21,00:14:37:17,我不行 我肯定不行,我不行我肯定不行,True
00:15:21:12,00:15:23:18,那你一定要保守秘密  當然保守,那你一定要保守秘密當然保守,True
00:15:23:18,00:15:25:16,千萬不能讓學校知道 當然不會知道,千萬不能讓學校知道當然不會知道,True
00:15:25:16,00:15:27:06,學校知道 我就完蛋了,學校知道我就完蛋了,True
00:15:38:23,00:15:41:05,明天早上9點在我家 OK,明天早上9點在我家 OK,True
00:15:47:15,00:15:48:20,合照  是啊,合照是啊,True
00:15:49:11,00:15:50:16,不要  為什麼,不要為什麼,True
00:15:50:16,00:15:51:20,不好看  沒有,不好看沒有,True
00:16:03:13,00:16:04:12,一 二 三,一二三,True
00:16:17:18,00:16:20:03,天啊 你剛剛變形了吧,天啊你剛剛變形了吧,True
00:16:20:13,00:16:22:01,你覺得呢  沒關係,你覺得呢沒關係,True
00:16:24:00,00:16:25:05,可以嗎  可以,可以嗎可以,True
00:16:37:23,00:16:40:11,沒關係 我明天早上來去拿就好了,沒關係我明天早上來去拿就好了,True
00:16:47:02,00:16:49:05,對不起 等我一下,對不起等我一下,True
00:17:23:12,00:17:25:16,就是 才乾又濕了,就是才乾又濕了,True
00:19:32:05,00:19:34:11,不行 不可以,不行不可以,True
00:20:00:19,00:20:02:05,填詞人 懂不懂,填詞人懂不懂,True
00:20:26:18,00:20:28:06,我當然沒有 我怎麼可能,我當然沒有我怎麼可能,True
00:20:34:13,00:20:36:14,我是專業的 我沒事,我是專業的我沒事,True
00:22:54:10,00:22:56:13,你家也太大 太漂亮了吧,你家也太大太漂亮了吧,True
00:22:57:14,00:22:59:15,我可以到處參觀一下 拍幾張照片嗎,我可以到處參觀一下拍幾張照片嗎,True
00:23:00:03,00:23:01:10,隨便看看 隨便拍,隨便看看隨便拍,True
00:23:27:11,00:23:29:06,真的嗎  你可以試試看,真的嗎你可以試試看,True
00:23:55:20,00:23:58:23,好啊 我最喜歡喝胡蘿蔔汁了,好啊我最喜歡喝胡蘿蔔汁了,True
00:03:13:00,00:03:14:19,Thank you    -No problem,Thank you -No problem,True
00:05:37:11,00:05:38:08,Give me your tee-shirt,Give me your tee-shirt,True
00:06:12:03,00:06:14:01,The guitar you bought me    -I gave it to him,The guitar you bought me -I gave it to him,True
00:06:14:01,00:06:15:07,To him?    -Yes,To him? -Yes,True
00:07:35:05,00:07:36:12,You're hurt    -I'm fine,You're hurt -I'm fine,True
00:09:26:09,00:09:28:07,How come?    -I'm well-read,How come? -I'm well-read,True
00:09:34:10,00:09:36:14,aspiring poets with different mother-tongues...,aspiring poets with different mother-tongues...,True
00:10:40:10,00:10:42:22,How could he say that?    -He said much worse,How could he say that? -He said much worse,True
00:10:45:07,00:10:49:04,"At that moment, a cure-all saying came into my mind","At that moment, a cure-all saying came into my mind",True
00:11:42:15,00:11:44:15,"Improvise?    -Yes, you can, be confident","Improvise? -Yes, you can, be confident",True
00:11:58:13,00:11:59:21,Give me some time    -Of course,Give me some time -Of course,True
00:15:13:09,00:15:15:15,and get in-depth information on...,and get in-depth information on...,True
00:15:21:12,00:15:23:18,You promise to keep it a secret    -Of course,You promise to keep it a secret -Of course,True
00:15:23:18,00:15:25:16,The school must never find out    -They won't,The school must never find out -They won't,True
00:15:47:15,00:15:48:20,Take a photo?    -Yes,Take a photo? -Yes,True
00:15:49:11,00:15:50:16,Don't    -Why not?,Don't -Why not?,True
00:15:50:16,00:15:51:20,"I'm a mess    -Oh, please","I'm a mess -Oh, please",True
00:16:20:13,00:16:22:01,What do you think?    -It's fine,What do you think? -It's fine,True
00:16:24:00,00:16:25:05,Is that okay?    -Sure,Is that okay? -Sure,True
00:19:53:21,00:19:56:14,'You've visited that patient in your off-time','You've visited that patient in your off-time',True
00:23:27:11,00:23:29:06,Really?    -Give it a try,Really? -Give it a try,True
00:18:18:09,00:18:25:02,當我 當我遠去,當我當我遠去,True
00:20:44:00,00:20:45:17,星玥夢想 喬伊.哈爾度實習計劃,星玥夢想喬伊.哈爾度實習計劃,True
